Iteration	Posterior	Likelihood	Prior	pi[1]	pi[2]	pi[3]	pi[4]	ucln_sigma	base_rate	death_rate	diversification	birth_rate	ucln_mean	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	n_TMRCA_UrsidaePinn	turnover	root_time	n_TMRCA_Ursidae	tmrca_Ursidae	tmrca_UrsidaePinn	branch_subrates[1]	branch_subrates[2]	branch_subrates[3]	branch_subrates[4]	branch_subrates[5]	branch_subrates[6]	branch_subrates[7]	branch_subrates[8]	branch_subrates[9]	branch_subrates[10]	branch_subrates[11]	branch_subrates[12]	branch_subrates[13]	branch_subrates[14]	branch_subrates[15]	branch_subrates[16]	branch_subrates[17]	branch_subrates[18]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	ucln_var	ucln_mu	mean_rt	s_gam
0	-15117.5	-6228.8	-8888.74	0.201096	0.377605	0.192496	0.228803	0.050657	1.8428e-10	50.684	18.9552	69.6392	0.870038	0.397581	0.0486785	0.0244914	0.0831946	0.189902	0.256152	-47.3144	0.727808	47.3293	-47.3033	47.3033	47.3144	1.84433e-10	1.57639e-10	1.64521e-10	1.64647e-10	1.65768e-10	1.63099e-10	1.61955e-10	1.63845e-10	1.63635e-10	1.627e-10	1.66073e-10	1.507e-10	1.68684e-10	1.72205e-10	1.46778e-10	1.64821e-10	1.60426e-10	1.47011e-10	1.00083	0.855436	0.89278	0.893463	0.899544	0.885063	0.878854	0.88911	0.887971	0.882897	0.901204	0.817781	0.915371	0.934478	0.796497	0.894409	0.870555	0.797759	0.00256613	-0.140501	0.883	0.0425186
10	-7257.92	-5481.73	-1776.19	0.182841	0.313169	0.349115	0.154874	0.128001	1.09455e-09	2.20614	12.5303	14.7364	1.64122	0.24248	0.0698888	0.0671962	0.0867082	0.317259	0.216468	-33.9834	0.149707	40.2912	-12.8246	12.8246	33.9834	3.51041e-09	1.92117e-09	1.4197e-09	1.70698e-09	1.72509e-09	1.76384e-09	2.35618e-09	1.1538e-09	2.55828e-09	3.11824e-09	1.86602e-09	2.15984e-09	1.73936e-09	2.06988e-09	1.54422e-09	1.30952e-09	1.75886e-09	1.41806e-09	3.20718	1.75522	1.29707	1.55953	1.57608	1.61147	2.15265	1.05414	2.3373	2.84889	1.70483	1.97327	1.58911	1.89108	1.41083	1.19641	1.60692	1.29557	0.0163843	0.48725	1.78153	0.0664707
20	-5149.06	-3900.49	-1248.57	0.192628	0.350349	0.339064	0.117958	0.914926	6.1457e-09	0.657795	7.93172	8.58952	20.345	0.0364321	0.247454	0.0486467	0.0813732	0.531574	0.0545203	-33.9834	0.0765812	40.2912	-12.9985	12.9985	33.9834	1.42185e-05	3.04675e-07	4.11679e-07	8.12777e-07	7.21236e-07	1.2771e-06	1.0751e-06	1.6332e-07	2.91449e-07	1.47046e-06	2.89003e-07	3.95529e-07	2.51748e-07	1.26745e-07	5.55578e-07	3.47677e-07	7.80519e-07	4.56004e-07	2313.57	49.5753	66.9865	132.251	117.356	207.803	174.935	26.5747	47.4232	239.266	47.0252	64.3586	40.9633	20.6234	90.4012	56.5724	127.002	74.1989	0.83709	2.59429	216.494	0.0937817
30	-3440.15	-2863.82	-576.333	0.172968	0.339635	0.316601	0.170796	2.89067	2.96021e-08	0.0273343	2.13323	2.16056	7.74428	0.101583	0.316841	0.0651787	0.0888889	0.365133	0.0623756	-33.9354	0.0126515	40.2912	-15.8532	15.8532	33.9354	0.00320667	0.000965906	0.000292093	3.95588e-06	6.74026e-05	0.000828911	0.000362381	1.88117e-05	0.000129557	0.000616296	5.98394e-06	9.13264e-06	1.06553e-05	1.1712e-06	9.57795e-06	9.92934e-06	0.000288806	1.01982e-05	108326	32629.6	9867.28	133.635	2276.95	28001.7	12241.7	635.486	4376.6	20819.3	202.146	308.513	359.951	39.5647	323.556	335.427	9756.24	344.509	8.35596	-2.13103	12832.1	0.090787
40	-3163.76	-2784.41	-379.351	0.176634	0.339401	0.311782	0.172183	3.0671	5.5439e-08	0.0564176	0.489029	0.545447	12.1818	0.0368609	0.323649	0.0664649	0.105358	0.397449	0.0702174	-35.4187	0.103434	40.2912	-17.0905	17.0905	35.4187	0.00273385	0.00212225	0.000105338	2.26187e-05	0.00027069	0.00443344	0.00424268	8.70083e-05	0.000162231	0.00104715	1.64734e-05	6.04847e-06	9.10252e-06	1.71617e-06	3.36736e-05	7.6164e-06	0.000876066	3.57805e-05	49312.8	38280.9	1900.07	407.993	4882.66	79969.8	76528.7	1569.44	2926.29	18888.3	297.144	109.101	164.19	30.9561	607.399	137.383	15802.3	645.403	9.40708	-2.20359	16247.8	0.0920864
50	-3103	-2781.96	-321.038	0.180681	0.335624	0.318927	0.164768	2.82985	8.1096e-08	0.276065	0.391087	0.667152	6.21333	0.0446618	0.415051	0.0317081	0.0502628	0.422952	0.0353651	-35.4268	0.413797	40.2912	-16.3062	16.3062	35.4268	0.00251524	0.000272516	9.47694e-06	3.28856e-05	1.99595e-05	0.000649628	0.00471999	0.00015995	0.000200418	0.000981006	6.50212e-07	4.95364e-07	4.0531e-06	9.53213e-08	5.17253e-06	1.44756e-05	0.000959759	2.34944e-05	31015.6	3360.41	116.861	405.514	246.122	8010.6	58202.5	1972.36	2471.36	12096.8	8.0178	6.10837	49.979	1.17541	63.7828	178.5	11834.8	289.711	8.00804	-2.17732	7240.57	0.0895084
60	-3051.44	-2778.04	-273.399	0.191428	0.327644	0.30636	0.174568	2.78538	1.38385e-07	0.101876	0.132855	0.234731	10.9932	0.0674636	0.343592	0.0508165	0.0592603	0.442043	0.0368242	-46.5774	0.434011	49.247	-20.9164	20.9164	46.5774	0.002169	0.000445237	1.28661e-05	2.40496e-05	7.99559e-06	0.000422914	0.00197897	0.000206733	8.28807e-05	0.000512995	1.07753e-06	1.7703e-06	6.31827e-07	2.86925e-06	2.69215e-05	1.10148e-06	0.000744967	4.68902e-06	15673.7	3217.38	92.9734	173.788	57.7778	3056.06	14300.5	1493.9	598.914	3707.01	7.78649	12.7926	4.56572	20.7338	194.54	7.95952	5383.29	33.8838	7.75836	-1.48191	2668.75	0.11669
70	-3037.36	-2773.94	-263.42	0.177197	0.320407	0.32831	0.174087	2.26711	1.97287e-07	0.187351	0.0695373	0.256889	8.32128	0.0697919	0.398455	0.0420246	0.0937121	0.365563	0.0304531	-44.175	0.72931	48.8995	-23.7667	23.7667	44.175	0.00181261	0.000375686	7.45608e-05	8.02415e-05	4.36071e-06	0.000485605	0.00120633	0.000128517	2.19808e-05	0.000582916	1.85695e-06	1.39059e-06	1.6368e-06	8.31212e-06	1.33058e-05	1.33239e-05	0.000811237	4.81207e-06	9187.69	1904.26	377.931	406.725	22.1034	2461.41	6114.58	651.42	111.415	2954.66	9.41243	7.04855	8.29655	42.1321	67.4441	67.5358	4111.96	24.3912	5.13978	-0.451075	1585.02	0.134827
80	-3026.11	-2780.15	-245.962	0.180392	0.34129	0.313965	0.164353	2.34799	3.44372e-07	0.380114	0.039904	0.420018	8.61794	0.0606255	0.322265	0.0177464	0.0856326	0.444323	0.0694074	-47.4609	0.904995	52.2557	-24.1481	24.1481	47.4609	0.00167799	8.59361e-05	0.000155218	0.000105879	2.6419e-06	0.000367389	0.00226156	5.63255e-06	4.69867e-05	0.000706181	2.28634e-06	9.47789e-06	3.18088e-06	5.04458e-05	1.74985e-05	6.63134e-06	0.000647885	1.56252e-06	4872.61	249.545	450.728	307.455	7.67164	1066.84	6567.19	16.356	136.442	2050.64	6.63916	27.5222	9.23676	146.486	50.8129	19.2563	1881.35	4.5373	5.51308	-0.602693	992.851	0.208873
90	-3000.11	-2775.37	-224.738	0.178087	0.336396	0.323264	0.162252	2.15704	6.26516e-07	0.208124	0.0522115	0.260335	9.12623	0.0431307	0.386498	0.0692405	0.081431	0.373831	0.0458688	-38.9086	0.799445	44.6297	-25.7627	25.7627	38.9086	0.00212839	0.00017312	0.000158521	0.000105604	6.77114e-06	0.000485172	0.00059091	7.63078e-06	8.12683e-05	0.000750662	1.52488e-05	1.82764e-05	2.05063e-06	2.91613e-05	4.73548e-06	2.86317e-06	0.00120037	4.709e-07	3397.18	276.321	253.02	168.557	10.8076	774.397	943.168	12.1797	129.715	1198.15	24.3391	29.1715	3.27307	46.5452	7.55843	4.56999	1915.95	0.751616	4.65281	-0.115253	510.87	0.18861
100	-2969.34	-2780.75	-188.593	0.181762	0.350206	0.301595	0.166437	1.95611	1.31132e-06	0.0771023	0.10891	0.186012	8.53012	0.0760073	0.386427	0.0706263	0.0957121	0.328977	0.0422508	-46.5536	0.414502	47.8569	-28.4938	28.4938	46.5536	0.00172029	3.32904e-05	6.59041e-05	4.4211e-05	2.2227e-06	0.000355946	0.00108464	1.46109e-05	3.40866e-05	0.000622325	1.23105e-05	1.88811e-05	3.30231e-06	1.02141e-05	1.24726e-05	1.09217e-06	0.00148055	5.53539e-07	1311.88	25.387	50.2579	33.715	1.69502	271.442	827.137	11.1421	25.9942	474.58	9.38785	14.3985	2.51831	7.7892	9.51149	0.832876	1129.05	0.422125	3.82637	0.230421	233.73	0.170268
110	-2969.23	-2779.28	-189.95	0.174977	0.344853	0.318756	0.161414	1.84864	1.54094e-06	0.0189015	0.120305	0.139207	10.1299	0.0545424	0.373605	0.163446	0.0686825	0.296884	0.0428398	-36.6947	0.13578	47.2089	-28.5285	28.5285	36.6947	0.00225904	6.73404e-05	9.31787e-05	0.000232486	3.53747e-06	0.000369618	0.00080397	1.1495e-05	7.65846e-05	0.000757988	7.78316e-06	1.40787e-06	1.34974e-06	9.01343e-06	6.86721e-06	1.34576e-06	0.00260137	1.33349e-05	1466.01	43.7009	60.4688	150.873	2.29566	239.866	521.74	7.45977	49.7	491.9	5.05093	0.913647	0.875923	5.84931	4.45651	0.873338	1688.17	8.65378	3.41746	0.606765	263.826	0.131051
120	-2949.04	-2776.36	-172.677	0.177623	0.349639	0.306067	0.166671	2.06763	2.55627e-06	0.00896741	0.128599	0.137566	7.25965	0.0505871	0.321267	0.0996049	0.0697522	0.420309	0.0384798	-37.2335	0.0651861	48.7343	-22.5274	22.5274	37.2335	0.00211902	0.000208431	8.40357e-05	0.000291873	2.27176e-06	0.000363354	0.00193167	3.87383e-05	3.08895e-05	0.00108469	3.39762e-06	2.56199e-06	1.74201e-06	1.78633e-06	1.87567e-06	1.06637e-06	0.00166618	1.35255e-06	828.95	81.5372	32.8743	114.179	0.888701	142.142	755.661	15.1542	12.0838	424.324	1.32913	1.00224	0.681467	0.698803	0.733751	0.417159	651.801	0.529109	4.2751	-0.15522	170.277	0.168217
130	-2940.23	-2772.51	-167.723	0.17109	0.317242	0.325723	0.185945	2.08718	4.17264e-06	0.0922143	0.0919018	0.184116	5.69684	0.0543059	0.370873	0.0653611	0.0760364	0.400405	0.0330177	-35.9987	0.500849	46.4788	-24.3056	24.3056	35.9987	0.0017837	0.000355627	0.000306463	0.00022376	7.74341e-06	0.000725577	0.00200786	8.48574e-05	2.27387e-05	0.000830617	5.017e-06	4.26585e-06	2.41721e-06	8.66759e-07	1.31473e-05	2.16123e-06	0.00166764	2.25708e-06	427.476	85.2284	73.4458	53.6256	1.85576	173.889	481.197	20.3366	5.44948	199.063	1.20236	1.02234	0.5793	0.207725	3.15083	0.517954	399.661	0.540924	4.35631	-0.438241	107.136	0.1509
140	-2920.85	-2769.78	-151.066	0.185478	0.328016	0.325704	0.160803	1.79859	8.25274e-06	0.239901	0.0868245	0.326726	5.57098	0.0599136	0.315203	0.0865678	0.0655496	0.425815	0.0469509	-36.9521	0.734259	46.7717	-17.5639	17.5639	36.9521	0.00201318	0.000146166	6.78339e-05	0.000365233	3.30086e-05	0.00120718	0.00143382	0.000113493	0.000173005	0.000659892	7.15939e-06	2.2101e-05	5.58896e-07	2.06217e-06	3.85964e-05	1.94668e-06	0.000984676	1.98678e-06	243.941	17.7112	8.21957	44.2559	3.99972	146.277	173.738	13.7521	20.9634	79.9604	0.867517	2.67802	0.0677225	0.249877	4.6768	0.235883	119.315	0.240742	3.23494	0.100103	48.9528	0.126308
150	-2930.96	-2777.99	-152.977	0.186894	0.323894	0.33043	0.158782	1.65331	7.76429e-06	0.487584	0.0568216	0.544405	5.51935	0.0397503	0.320859	0.107227	0.0508739	0.436465	0.0448241	-46.3225	0.895626	47.8387	-23.4328	23.4328	46.3225	0.00233036	0.000559739	3.20857e-05	0.00046236	0.000117141	0.000781492	0.00135122	1.69961e-05	0.000128568	0.000574197	5.47642e-06	1.13466e-05	1.77793e-06	8.66671e-06	3.12206e-05	1.68145e-07	0.00091078	1.97249e-06	300.139	72.0915	4.13247	59.5496	15.0871	100.652	174.03	2.18901	16.559	73.9536	0.705335	1.46139	0.228989	1.11623	4.02106	0.0216562	117.304	0.254047	2.73344	0.341541	52.4164	0.11614
160	-2914.41	-2771.14	-143.27	0.187613	0.330543	0.32492	0.156923	1.55062	7.00035e-06	0.143873	0.0629215	0.206795	4.91141	0.0397256	0.410961	0.0651031	0.0895865	0.358837	0.0357866	-47.3774	0.69573	49.0882	-20.9288	20.9288	47.3774	0.00212694	0.000167188	4.57864e-05	8.61906e-05	3.77461e-05	0.000576576	0.000822603	6.25425e-06	0.000146011	0.0008041	3.14401e-06	1.35016e-05	8.59142e-07	1.80602e-06	3.31725e-06	7.14648e-07	0.000810402	5.27153e-06	303.833	23.8828	6.54059	12.3123	5.39203	82.364	117.509	0.89342	20.8577	114.866	0.449122	1.92871	0.122729	0.257989	0.473869	0.102088	115.766	0.753039	2.40442	0.389348	44.9058	0.149788
170	-2941.55	-2777.97	-163.58	0.193792	0.327376	0.319082	0.159751	1.86646	6.5708e-06	0.191682	0.0446633	0.236345	8.34534	0.0374072	0.37536	0.12013	0.0819939	0.331495	0.0536142	-47.151	0.811025	50.7759	-23.6846	23.6846	47.151	0.00214598	0.000222778	9.99121e-05	0.000485051	0.000114914	0.000281575	0.00116121	2.47513e-05	0.000252562	0.000570768	7.23089e-06	0.000132711	8.443e-07	3.8419e-07	9.24262e-05	3.41832e-06	0.000908014	2.61962e-06	326.593	33.9042	15.2055	73.8191	17.4885	42.8524	176.722	3.76686	38.437	86.8643	1.10046	20.1971	0.128493	0.0584692	14.0662	0.520229	138.189	0.398676	3.48366	0.379874	55.0173	0.151913
180	-2922.07	-2774.13	-147.935	0.172695	0.318296	0.339692	0.169317	1.70859	6.85191e-06	0.397006	0.0476843	0.44469	4.24028	0.0732625	0.349531	0.0790885	0.0726083	0.37586	0.0496501	-39.6265	0.89277	46.5334	-24.9692	24.9692	39.6265	0.00191297	0.000292112	1.82973e-05	0.000139601	8.47429e-05	0.000507731	0.000676083	3.58886e-05	8.12075e-06	0.000793998	5.98571e-06	5.14398e-05	5.12634e-07	9.96632e-07	4.55782e-05	2.43203e-06	0.00105907	1.53328e-06	279.188	42.6322	2.6704	20.374	12.3678	74.1006	98.6707	5.23775	1.18518	115.88	0.873582	7.50736	0.0748162	0.145453	6.65189	0.354941	154.565	0.223774	2.91928	-0.0150132	45.7058	0.166848
190	-2920.01	-2779.9	-140.107	0.177589	0.33141	0.314708	0.176293	1.75794	8.63084e-06	0.179813	0.0753152	0.255128	7.11518	0.0270196	0.408173	0.0953308	0.0649231	0.349725	0.054828	-38.7634	0.704795	47.8355	-23.3054	23.3054	38.7634	0.00187311	9.23886e-05	1.82379e-05	4.27655e-05	7.68106e-05	0.000437107	0.00110559	2.34052e-05	4.18085e-06	0.000502014	3.37344e-06	4.39718e-05	2.08785e-06	2.7357e-06	0.000108685	1.86304e-06	0.00188321	9.67076e-06	217.025	10.7045	2.11311	4.95496	8.89955	50.6447	128.098	2.71181	0.484408	58.1652	0.390858	5.09472	0.241905	0.316967	12.5926	0.215858	218.196	1.12049	3.09034	0.417061	40.1095	0.155379
200	-2905.57	-2773.51	-132.063	0.17419	0.325066	0.327826	0.172918	1.94259	1.95603e-05	0.092489	0.0753152	0.167804	5.17697	0.05914	0.339735	0.130581	0.0557296	0.36775	0.0470641	-34.1968	0.551172	49.4231	-22.5457	22.5457	34.1968	0.00191648	0.000127454	0.00025627	7.88078e-05	0.000152577	0.000832709	0.000733372	4.92466e-05	8.09625e-06	0.00084731	6.8995e-06	3.52288e-05	9.87258e-07	1.50271e-05	0.000119448	2.49668e-05	0.00176882	2.57676e-06	97.9782	6.51599	13.1016	4.02898	7.80035	42.5715	37.493	2.51769	0.413913	43.318	0.352731	1.80104	0.0504726	0.768246	6.10667	1.2764	90.4295	0.131735	3.77367	-0.242617	19.8142	0.175772
210	-2897.92	-2773.64	-124.285	0.175609	0.316526	0.333537	0.174327	1.79577	1.81419e-05	0.110126	0.0827712	0.192897	4.2104	0.0585218	0.317696	0.124413	0.074494	0.388969	0.0359058	-37.0371	0.570904	50.8044	-24.0863	24.0863	37.0371	0.00222433	4.19764e-05	8.53095e-05	0.000144839	6.66055e-05	0.000592541	0.00168836	9.8398e-06	2.21743e-05	0.000692589	1.24159e-05	2.60204e-05	4.43255e-07	4.09091e-06	6.68638e-06	3.0094e-05	0.00146444	2.15098e-06	122.608	2.31379	4.70236	7.98369	3.67137	32.6616	93.0644	0.542381	1.22227	38.1763	0.68438	1.43428	0.0244327	0.225496	0.368561	1.65882	80.7216	0.118565	3.22479	-0.174837	21.7879	0.156894
