Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	TL	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	norm_gamma_rates[1]	alpha	pinvar
0	-13911.9	-13913.7	1.78336	0.042162	0.207607	0.0320461	0.186624	0.128278	0.0193893	0.155028	0.0139846	0.103899	0.111608	0.0247257	0.0994559	0.1283	0.0372918	0.0750681	0.0117403	0.0122742	0.139368	0.0708078	0.0720843	0.1072	0.107153	0.0762762	1.96237	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.888057	0.0113492	0.0441533	0.0564409	1	45.896	0.53162
10	-13783.2	-13785.2	2.02982	0.042162	0.207607	0.0320461	0.186624	0.128278	0.0193893	0.175447	0.0139846	0.103899	0.111608	0.0247257	0.0806692	0.105589	0.0336871	0.0750681	0.0117403	0.0123111	0.139368	0.0708078	0.0720843	0.1072	0.107153	0.0762762	1.93773	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.888057	0.0113492	0.0441533	0.0564409	1	45.896	0.53162
20	-13620	-13622.6	2.61881	0.042162	0.207607	0.0178867	0.186624	0.104259	0.0193893	0.175447	0.012355	0.084808	0.111608	0.0247257	0.0806692	0.105589	0.0336871	0.0750681	0.0117403	0.0123111	0.139368	0.0708078	0.0720843	0.1072	0.107153	0.0762762	1.87883	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.888057	0.0113492	0.0441533	0.0564409	1	45.896	0.53162
30	-13565.6	-13568.4	2.80933	0.042162	0.207607	0.0178867	0.186624	0.0937779	0.0193893	0.175447	0.012355	0.084808	0.111608	0.0196277	0.0806692	0.105589	0.0336871	0.0750681	0.0117403	0.0088383	0.139368	0.0708078	0.0720843	0.1072	0.107153	0.0762762	1.85977	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.888057	0.0113492	0.0441533	0.0564409	1	45.896	0.53162
40	-13333.7	-13336.6	2.94092	0.042162	0.207607	0.0178867	0.142644	0.0937779	0.0193893	0.247658	0.012355	0.084808	0.111608	0.0196277	0.0695526	0.0978807	0.0336871	0.0750681	0.0117403	0.0088383	0.139368	0.0708078	0.0495188	0.1072	0.107153	0.0762762	1.84662	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.888057	0.0113492	0.0441533	0.0564409	1	45.896	0.53162
50	-12201.1	-12203.9	2.74671	0.042162	0.207607	0.0178867	0.142644	0.0937779	0.0193893	0.27838	0.0119317	0.084808	0.111608	0.0196277	0.0695526	0.0978807	0.0336871	0.0668612	0.0117403	0.00616671	0.139368	0.0708078	0.0495188	0.1072	0.107153	0.0762762	1.86604	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	1	45.896	0.53162
60	-8775.35	-8778.32	2.96637	0.042162	0.207607	0.0178867	0.142644	0.0937779	0.0193893	0.27838	0.0119317	0.084808	0.101945	0.0196277	0.0695526	0.0978807	0.0336871	0.0668612	0.0117403	0.00616671	0.127066	0.0708078	0.0495188	0.1072	0.107153	0.0762762	1.84407	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157895	7.24675	0.53162
70	-8766.91	-8770.12	3.2122	0.042162	0.207607	0.0178867	0.142644	0.0937779	0.0144384	0.27838	0.0119317	0.084808	0.101945	0.0196277	0.0695526	0.0794618	0.0336871	0.0668612	0.0117403	0.00501727	0.127066	0.0708078	0.0494555	0.1072	0.107153	0.0762762	1.81949	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157895	7.24675	0.53162
80	-8726.92	-8730.92	3.99925	0.042162	0.207607	0.0178867	0.0951634	0.0682426	0.0144384	0.27838	0.0109589	0.084808	0.101945	0.0196277	0.0695526	0.0794618	0.0336871	0.0668612	0.0117403	0.00501727	0.127066	0.0708078	0.0494555	0.1072	0.107153	0.0715601	1.74078	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157895	7.24675	0.53162
90	-8708.6	-8713.06	4.45523	0.042162	0.207607	0.016468	0.0951634	0.0682426	0.0144384	0.27838	0.0109589	0.0643269	0.101945	0.0131446	0.0695526	0.0622467	0.0336871	0.0668612	0.0117403	0.00501727	0.127066	0.0708078	0.0494555	0.1072	0.107153	0.0715601	1.69518	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157895	7.24675	0.53162
100	-8671.94	-8676.91	4.97792	0.0349248	0.207607	0.016468	0.0951634	0.0682426	0.0144384	0.27838	0.0109589	0.0634588	0.101945	0.0128822	0.0677663	0.0622467	0.0336871	0.0668612	0.0117403	0.00323146	0.121934	0.0708078	0.0494555	0.0720034	0.107153	0.0715601	1.64292	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157915	7.24765	0.53162
110	-8651.16	-8656.53	5.37326	0.0349248	0.207607	0.016468	0.0951634	0.0682426	0.0144384	0.27838	0.0109589	0.0567008	0.101945	0.0128822	0.0677663	0.0622467	0.0336871	0.0508605	0.0117403	0.00268124	0.121934	0.0604073	0.0494555	0.0720034	0.107153	0.0657351	1.60338	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157915	7.24765	0.53162
120	-8630.61	-8636.33	5.71872	0.0242813	0.207607	0.016468	0.0951634	0.0682426	0.0144384	0.27838	0.0152156	0.0567008	0.101945	0.0128822	0.0551187	0.0622467	0.0336871	0.0508605	0.0117403	0.00268124	0.121934	0.0604073	0.0494555	0.0665649	0.0970798	0.0657351	1.56884	0.518793	0.0770591	0.0422885	0.170776	0.0979451	0.0931379	0.82043	0.010485	0.040791	0.128294	0.157915	7.24765	0.53162
