Iteration Posterior Likelihood Prior alpha[1] alpha[2] alpha[3] alpha[4] alpha[5] alpha[6] TL br_lens[1] br_lens[2] br_lens[3] br_lens[4] br_lens[5] br_lens[6] br_lens[7] br_lens[8] br_lens[9] br_lens[10] br_lens[11] br_lens[12] br_lens[13] br_lens[14] br_lens[15] br_lens[16] br_lens[17] br_lens[18] br_lens[19] br_lens[20] br_lens[21] br_lens[22] br_lens[23] br_lens[24] br_lens[25] br_lens[26] br_lens[27] br_lens[28] br_lens[29] br_lens[30] br_lens[31] br_lens[32] br_lens[33] br_lens[34] br_lens[35]
0 -40765.2 -40777.6 12.3777 28.1242 12.5766 42.1468 19.807 49.9521 2.53954 2.09695 0.0817263 0.00755302 0.0494361 0.00583404 0.0350264 0.204448 0.0391334 0.0564735 0.199462 0.0868042 0.0639542 0.0975214 0.0656461 0.174994 0.0159877 0.110086 0.042816 0.000862194 0.0250901 0.0196798 0.00718325 0.0291477 0.0238391 0.0177726 0.106115 0.02938 0.033608 0.027292 0.0053741 0.0581779 0.0757205 0.0840576 0.0201396 0.0911519 0.10546
1000 -26434 -26443.1 9.09301 28.1242 2.78788 9.58073 20.044 38.6991 2.53954 2.42542 0.0957199 0.0657775 0.112766 0.0436829 0.111581 0.125727 0.0872619 0.124923 0.0772234 0.133297 0.137926 0.130131 0.13133 0.135714 0.0664745 0.156056 0.221891 0.00339908 0.0932511 0.077799 0.0192395 0.00895871 0.0283075 0.0103284 0.0205714 0.0389314 0.0216412 0.00763802 0.0182171 0.0292681 0.00558109 0.0268632 0.00496268 0.0108553 0.0421217
2000 -24996.6 -24998.1 1.46795 17.9591 1.0288 9.58073 20.044 32.4639 7.51593 3.18792 0.123361 0.167209 0.136111 0.160026 0.101171 0.131797 0.124697 0.118486 0.0996063 0.208938 0.160036 0.162306 0.153628 0.170405 0.199273 0.222484 0.273943 0.0408502 0.135042 0.0582664 0.0239277 0.007299 0.0129642 0.0114641 0.0127918 0.0382218 0.0232225 0.0119915 0.0293767 0.0145434 0.00637782 0.00682993 0.013294 0.020679 0.0073051
3000 -24562 -24563.9 1.82852 17.9591 1.28788 6.33124 29.722 27.0147 7.51593 3.15187 0.108728 0.163285 0.158396 0.175055 0.110758 0.12166 0.146212 0.129621 0.0929665 0.210101 0.158401 0.111956 0.144254 0.166285 0.16384 0.172158 0.18262 0.159621 0.143783 0.0297268 0.0259519 0.0500839 0.0171948 0.0118045 0.0184415 0.0325755 0.0186121 0.0133915 0.0319315 0.0214943 0.0236675 0.00384516 0.0115234 0.0145604 0.00736192
4000 -24283.6 -24284.2 0.659849 17.9591 1.28788 6.33124 29.722 27.0147 7.00294 3.26873 0.108728 0.140841 0.133701 0.208322 0.136625 0.157198 0.136509 0.130479 0.0904188 0.209964 0.169459 0.129969 0.14134 0.168159 0.18617 0.173801 0.194647 0.166093 0.137471 0.0238825 0.0109422 0.0587075 0.0177546 0.031205 0.00931988 0.0371237 0.0219462 0.0134618 0.0312141 0.0174261 0.0128271 0.000867659 0.0130588 0.0182501 0.0308508
5000 -23780.3 -23780.4 0.0598056 17.9591 1.41411 4.98623 29.8598 27.0147 6.80596 3.32874 0.1018 0.161978 0.152222 0.249751 0.0999188 0.141601 0.101453 0.139467 0.0875055 0.185987 0.183096 0.144234 0.144315 0.160003 0.175372 0.172942 0.256366 0.1756 0.160497 0.0086737 0.0187152 0.04572 0.0188051 0.00689761 0.0172671 0.0225851 0.0313182 0.00468624 0.0195193 0.0161266 0.0184574 0.0145906 0.0283204 0.0352904 0.0276557
6000 -23621.2 -23619.3 -1.91664 17.9591 1.27379 4.98623 29.8598 27.0147 6.28312 3.52638 0.118404 0.179272 0.164071 0.190956 0.126958 0.146064 0.0880578 0.170557 0.101086 0.220232 0.168847 0.147512 0.17048 0.158746 0.18285 0.191552 0.241979 0.211453 0.134773 0.0374901 0.0201963 0.0491518 0.0329125 0.00132278 0.0313771 0.0272156 0.00879564 0.00511069 0.0287772 0.058741 0.01907 0.0140613 0.0345961 0.0323255 0.0113857
7000 -23488.2 -23485.2 -2.94855 17.9591 0.982651 3.84855 29.8598 27.0147 6.28312 3.62957 0.134355 0.178751 0.189883 0.189281 0.15972 0.15228 0.0831674 0.169097 0.0785051 0.247931 0.214311 0.152179 0.152266 0.170501 0.143359 0.21341 0.188551 0.211453 0.137935 0.00889314 0.00733101 0.0468841 0.0150892 0.00485495 0.019979 0.0373818 0.0396986 0.0335505 0.0186741 0.0546912 0.0371539 0.0131745 0.0274935 0.0248482 0.0729409
8000 -23396.6 -23387.8 -8.78605 17.9591 0.982651 3.38921 29.8598 20.1479 6.28312 4.21332 0.116159 0.191509 0.207913 0.185782 0.156643 0.197345 0.0969217 0.169984 0.13244 0.250487 0.225169 0.155009 0.190737 0.246021 0.178131 0.229302 0.246656 0.270749 0.16497 0.0190332 0.0226765 0.0639974 0.0304676 0.0156683 0.0350357 0.0329473 0.0377969 0.0286418 0.0226145 0.0509792 0.0529447 0.0278496 0.0293822 0.0332671 0.0980942
9000 -23361.7 -23353 -8.63655 16.2184 0.982651 3.50522 29.8598 20.1479 6.28312 4.19837 0.121009 0.219741 0.206623 0.192216 0.136348 0.175446 0.106966 0.169984 0.118116 0.254227 0.234402 0.192314 0.169886 0.205067 0.162568 0.253932 0.206234 0.318612 0.153694 0.0228077 0.0171436 0.033032 0.0361456 0.0169363 0.0270476 0.042411 0.0356425 0.0150702 0.0308105 0.0523574 0.0820889 0.0437563 0.0195595 0.026146 0.100033
