state	power	likelihood
100	1	-23163.3
200	1	-22773.2
100	0.84284	-22695.8
200	0.84284	-22589.4
100	0.703842	-22578.7
200	0.703842	-22530.2
100	0.581741	-22526.1
200	0.581741	-22554.7
100	0.475299	-22576.5
200	0.475299	-22538.7
100	0.383299	-22589.7
200	0.383299	-22640.5
100	0.304551	-22770.3
200	0.304551	-22716.5
100	0.237891	-22825.9
200	0.237891	-22824.9
100	0.182181	-22923.2
200	0.182181	-22980.2
100	0.136315	-23140
200	0.136315	-23074.4
100	0.0992126	-23408.2
200	0.0992126	-23321.4
100	0.06983	-23755.8
200	0.06983	-23500.2
100	0.0471556	-23825.9
200	0.0471556	-24340.1
100	0.0302153	-24778.4
200	0.0302153	-24615.7
100	0.0180747	-26111.6
200	0.0180747	-26215.2
100	0.00984313	-27982.3
200	0.00984313	-26765.7
100	0.00467843	-27871.9
200	0.00467843	-29978.1
100	0.00179324	-30489.5
200	0.00179324	-32472.6
100	0.000464159	-37577.6
200	0.000464159	-37080.9
100	4.60504e-05	-39122.3
200	4.60504e-05	-34177.8
100	1.16658e-302	-38438.1
200	1.16658e-302	-41893.7
