state	power	likelihood
100	1	-22700.3
200	1	-22635.3
100	0.84284	-22644.7
200	0.84284	-22623.1
100	0.703842	-22634.2
200	0.703842	-22655.2
100	0.581741	-22659.3
200	0.581741	-22656.8
100	0.475299	-22735.6
200	0.475299	-22713.1
100	0.383299	-22762.8
200	0.383299	-22786.2
100	0.304551	-22884.4
200	0.304551	-22849
100	0.237891	-22923.3
200	0.237891	-23002.9
100	0.182181	-23087.7
200	0.182181	-23116.6
100	0.136315	-23251.2
200	0.136315	-23293.7
100	0.0992126	-23387.9
200	0.0992126	-23334.6
100	0.06983	-23779.6
200	0.06983	-23665
100	0.0471556	-23868.6
200	0.0471556	-24090.3
100	0.0302153	-24929.8
200	0.0302153	-24727.5
100	0.0180747	-25229.9
200	0.0180747	-25669.6
100	0.00984313	-27100.6
200	0.00984313	-27312.2
100	0.00467843	-27874.5
200	0.00467843	-28856.9
100	0.00179324	-29753.6
200	0.00179324	-31923.3
100	0.000464159	-34955.2
200	0.000464159	-38545.7
100	4.60504e-05	-43831.4
200	4.60504e-05	-36155.4
100	1.16658e-302	-46873
200	1.16658e-302	-38923
