Iteration	Posterior	Likelihood	Prior	mu	sigma
0	-455524	-455521	-3.03839	2.55708	0.042659
1	-173476	-173473	-3.06401	2.71787	0.0682797
2	-173476	-173473	-3.06401	2.71787	0.0682797
3	-173476	-173473	-3.06401	2.71787	0.0682797
4	-94342.7	-94339.6	-3.08832	2.71787	0.0925867
5	-29331.3	-29328.1	-3.16178	2.71787	0.166044
6	-23495.5	-23492.3	-3.18125	2.71787	0.185522
7	-21984.1	-21980.9	-3.18125	3.1427	0.185522
8	-18430	-18426.8	-3.19836	3.1427	0.202623
9	-17532.3	-17529.1	-3.19836	3.45301	0.202623
10	-17433.5	-17430.3	-3.19836	3.48769	0.202623
11	-17079.2	-17076	-3.19836	3.61278	0.202623
12	-9033.57	-9030.29	-3.27436	3.61278	0.278632
13	-9033.57	-9030.29	-3.27436	3.61278	0.278632
14	-7549.9	-7546.6	-3.30053	3.61278	0.3048
15	-6972.55	-6969.25	-3.30053	4.08636	0.3048
16	-6377.86	-6374.55	-3.31444	4.08636	0.318706
17	-6001.24	-5997.91	-3.3243	4.08636	0.328565
18	-2236.71	-2233.17	-3.53465	4.08636	0.538919
19	-1726.84	-1723.26	-3.58737	4.50827	0.591637
20	-680.568	-676.639	-3.92958	4.68939	0.933849
21	-672.359	-668.429	-3.92958	4.75789	0.933849
22	-427.998	-423.822	-4.17622	4.75789	1.18049
23	-394.935	-390.759	-4.17622	5.20998	1.18049
24	-207.319	-202.709	-4.60924	5.59959	1.61351
25	-192.428	-187.819	-4.60924	6.01336	1.61351
26	-90.9456	-85.3424	-5.60319	6.01336	2.60745
27	-87.2912	-81.6635	-5.62774	6.20719	2.632
28	-87.2912	-81.6635	-5.62774	6.20719	2.632
29	-82.9886	-77.254	-5.73467	6.20719	2.73894
30	-81.1361	-75.4015	-5.73467	6.36351	2.73894
31	-52.937	-45.5533	-7.38374	6.42846	4.38801
32	-50.759	-43.3752	-7.38374	6.92181	4.38801
33	-47.4532	-39.1552	-8.29805	6.92181	5.30232
34	-48.0732	-40.0272	-8.046	6.92181	5.05027
35	-46.7097	-38.6637	-8.046	7.3545	5.05027
36	-45.6451	-35.475	-10.1701	7.3545	7.17432
37	-45.6451	-35.475	-10.1701	7.3545	7.17432
38	-45.8083	-35.379	-10.4292	7.3545	7.4335
39	-45.1758	-34.7466	-10.4292	7.81486	7.4335
40	-44.5625	-34.1332	-10.4292	8.29069	7.4335
41	-45.0777	-34.6484	-10.4292	7.88894	7.4335
42	-44.4215	-35.5916	-8.82995	7.88894	5.83422
