# BEAST v1.8.0, r5971
# Generated Tue Nov 11 23:15:48 EST 2014 [seed=1415708148141]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(AleocharaTriboliumMeloeDendroctonus)	tmrca(BombusApis)	tmrca(CarabusGyrinus)	tmrca(ColeopteraStrepsiptera)	tmrca(CopepodaBranchiopoda)	tmrca(Dicondylia)	tmrca(Diplura)	tmrca(Diptera)	tmrca(Ellipura)	tmrca(Embioptera)	tmrca(EmbiopteraPhasmatodea)	tmrca(EpiophlebiaCordulegaster)	tmrca(FormicidaeApidae)	tmrca(GlossinaSarcophagaTriarthria)	tmrca(HemipteraSternorrhyncha except Aleyrodidae)	tmrca(Holometabola)	tmrca(Hymenoptera)	tmrca(Isoptera)	tmrca(LiposcelisPediculusMenopon)	tmrca(ManducaBombyxParidesPolyommatusZygaenaYponomeutaNemophora)	tmrca(Mecoptera)	tmrca(Megaloptera)	tmrca(MegalopteraNeuroptera)	tmrca(Neuroptera)	tmrca(Odonata)	tmrca(OstracodaMalacostraca)	tmrca(ParidesPolyommatus)	tmrca(PediculusMenopon)	tmrca(Plecoptera)	tmrca(Pterygota)	tmrca(RanatraVelia)	tmrca(SiphonapteraMecoptera)	tmrca(Strepsiptera)	tmrca(Thysanoptera)	tmrca(ThysanopteraHemiptera)	tmrca(ZorapteraDermaptera)	tmrca(Lepidoptera)	yule.birthRate	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	speciation
0	-7648.986993494939	-7201.927568683868	-447.0594248110714	458.0	443.56502752742483	444.0	444.0	444.40661312125116	455.0	450.1657128076165	452.0	446.79532937276923	453.0	444.0	444.11006745173376	448.0	444.6678486128119	445.0878175343653	445.0	447.7991597997217	445.48131218541783	440.0	445.0	444.2088474188766	444.0856371789404	442.0	443.52633024852116	443.38858193375654	449.0	456.19892219185965	443.0	444.0	447.0	449.5151033016281	444.0	444.43306717829194	443.0	447.0	447.3802399000885	448.0	444.85817154091654	0.085	0.087	0.087	0.08105245514274644	0.08710469972997262	0.5978899355226004	-447.0594248110714	-5693.776881654034
1000	-2165.999371090264	-2162.82873666052	-3.170634429743993	459.8391096422134	412.4576647729865	54.70587256936007	252.5597512344784	415.09406586995357	210.80084956381796	419.7572929743574	309.3732209602358	417.27252459874296	421.7007609578763	355.2536696370611	415.1994752685545	130.55569937383856	327.6457904649695	399.6092163378189	416.000704338237	418.0119188450363	416.2405533434627	257.1884955641669	368.18491544015524	414.77621117025967	332.0649924987123	157.8579487590305	228.07335348571718	182.05381475149085	225.2448887830878	425.6980381406582	164.40420910866575	61.0598619076134	168.21770393433252	419.68957983701324	124.24622479943386	416.79112081779715	133.7558568283765	213.0903771249889	418.01317474922047	316.4689867652543	415.2164564854978	0.003476368120343676	0.15766227067898037	22.42047327827615	1.3379165743958234E-90	16.18904555718925	0.006262589102613069	-3.170634429743993	-937.15524723853
2000	-2059.0475310518837	-2055.8768966221396	-3.170634429743993	479.1993285310697	284.00595233253244	35.58452225169178	252.90363151366563	416.2378889839332	321.8854970408529	422.25089249281024	60.37627235641636	417.80500811879784	382.2950029406107	341.8189490826448	414.89179536528746	130.7334613890873	137.43182808449188	199.2713644378123	335.38772997036375	419.0742965183985	416.8072981117528	148.91780940376026	204.48067933979877	347.06597315303225	147.46677871466693	190.6284998570695	403.5014903415535	79.53576330168156	225.5515776947676	426.2776600300912	164.62805857419423	61.14299978788645	168.44674577773958	419.69416177480053	124.41539596096356	406.02845307019294	133.93797611367134	213.38051669797977	418.3551519466194	274.06788327862006	417.54613708503626	0.0036557677663762935	0.4264117825614526	220.1693335641389	0.0	NaN	NaN	-3.170634429743993	-921.6672587392695
3000	-1988.498564320952	-1985.327929891208	-3.170634429743993	548.2355526070576	334.97807880572947	35.57987100605021	252.87057453160205	405.5858721975418	222.49398474944275	420.778647897312	160.8138608189796	417.6397537476202	240.68043278081805	341.7742699975672	354.6199935509577	130.71637324502868	142.81797486963495	51.32429513973845	359.1240207619203	418.2902193513283	389.65608819304043	144.9150297932765	151.48190629684422	355.4504728307443	127.76754364209395	128.89949449813736	385.51309469102955	180.0126230438329	354.54193145081217	426.22194136414174	101.82645539647545	61.135007798862	168.4247281379749	419.6026152819978	124.3883121819337	179.62330275894837	133.92046910814705	213.35262577418803	404.99642702556685	274.0320599215274	391.3456377405579	0.003548422714979479	1.2079131381481236	132.01263813605414	0.0	NaN	NaN	-3.170634429743993	-916.0617251978261
4000	-1918.0984144961826	-1914.9277800664386	-3.170634429743993	547.3787630791418	314.97291195431046	41.62735089907379	253.11673681588343	376.2943677927894	450.93782143595314	425.68354914009086	234.25993124499982	411.2306332279093	217.40522911833386	119.32746283433458	355.26919245307096	130.84362190213548	142.9570040903953	50.62214993537505	244.83468490460763	419.6118072699107	397.0512235784234	145.05610043712934	112.37454997902971	190.41512859983266	113.1044016146711	84.07617927231261	261.5704246831222	46.375618211979955	329.727624603452	426.63685625446215	97.07826395587036	61.194520983411856	168.58868480191143	425.44515237848873	124.509400652276	179.79816091553386	134.05083686109245	213.5603184636806	388.05226480917867	257.75657922342106	286.2046414263089	0.004824609328940198	1.7519728201458356	162.065444248477	0.0	NaN	NaN	-3.170634429743993	-903.9918311925392
5000	-1876.7245385326707	-1873.5539041029267	-3.170634429743993	554.2198461322787	153.83204367427308	45.95601486699442	211.99075740930863	367.28456531888287	418.9384624575889	423.00509265880123	233.93746213932448	398.61862869297147	266.47759261644086	119.16320332986794	271.76047736652475	130.66350989785946	101.82342294132995	50.55246631799214	288.8865325394597	419.18793925875474	386.08141676132675	144.85642433062614	112.21986146512202	194.64211432862623	111.29082852609041	19.141416635184765	95.52336299107853	11.829047272356526	269.25900481524275	426.04957184456185	101.56131186730366	51.81401386619824	168.35661505730712	422.87063320039744	105.42593058995791	166.1091783895003	117.72747375678895	213.26634328603618	385.72164509589913	204.78539113087726	292.94052300982656	0.003981723546631747	1.8218079881541251	2024.7732168362058	0.0	NaN	NaN	-3.170634429743993	-899.6952205313547
6000	-1852.2810695194582	-1849.1104350897142	-3.170634429743993	571.9956233004168	153.83204367427308	45.95601486699442	211.99075740930863	345.7185536901449	207.14256232386126	438.4197045327332	130.0648997282278	363.5421115087121	368.20509897695456	119.16320332986794	172.407886808831	124.98407913870169	96.54147590331662	50.31199641717519	236.15358557983257	418.1099520792893	408.9283032609957	144.85642433062614	105.23592673750927	183.42181489066277	105.97478220777911	13.065050296030785	68.82624587849688	27.69789659559326	242.79811117212031	426.04957184456185	101.56131186730366	51.81401386619824	168.35661505730712	431.8810320539125	105.42593058995791	169.40350640651064	117.72747375678895	213.26634328603618	370.8625599395868	172.42924650323096	243.17444564648852	0.0053497667608011995	3.0356289168704333	8493.19081241497	0.0	NaN	NaN	-3.170634429743993	-894.0935717501864
7000	-1841.8429715183975	-1838.6723370886534	-3.170634429743993	579.1295292509776	137.01844099586083	46.01094527801776	212.24414620882362	326.33394572883543	386.53333320073057	445.40656237402857	130.22036400036842	363.3446621369279	373.3459290568552	110.25474478900566	160.31794256056446	118.25997043934284	96.65687022041563	50.37213345583266	176.8836933318169	418.2922998784979	409.4170880227339	149.6916019968284	105.36171337777482	183.64105573893366	109.2141780108574	1.123700370157224	27.535773213879523	23.67251669739363	226.6193412847847	426.5588213555447	87.26658644417176	49.154529488962694	168.55784873891247	445.2901547567781	105.55194433846471	169.60599141881283	117.8681913220721	213.52125677076828	414.8664916318483	172.6353481291069	237.80438268848002	0.004194652867287283	62.04714966482495	6233.137716485953	0.0	NaN	NaN	-3.170634429743993	-888.4221645578306
8000	-1804.0595996780553	-1800.8889652483113	-3.170634429743993	578.984378366633	211.90188186382724	45.902400486601465	210.0599836983043	356.13414836224376	413.1408714692425	439.5451964773547	329.61610706660684	359.60555411622437	321.9545867982874	109.1201350271982	343.29331415765677	117.04298048441329	97.8770799804611	41.301991955158556	278.4946638016372	410.8400734592394	338.0625561200217	148.15115534112007	104.27745683400471	108.27763746563674	108.09027651586021	3.6225345580403774	27.252408020416212	19.80889309157689	279.59104484562954	455.82262868156	43.79990034385016	48.648689952515	166.82325327116706	435.5827234330599	104.46573016552038	167.86060972215134	125.14187685930592	117.96311359215693	411.67224901861897	170.85879192197805	256.94738030422195	0.004992822487457582	333.2407243101711	19842.76577092536	0.0	NaN	NaN	-3.170634429743993	-890.1436971496873
9000	-1801.4007994944025	-1798.2301650646584	-3.170634429743993	572.3485679395596	191.63935106210354	43.95802176347819	210.0599836983043	336.6006804990472	478.3767243795104	456.7689926785836	79.71196938584124	358.518921596909	308.49274096011675	109.1201350271982	316.0771782787775	117.04298048441329	96.0879643789682	37.335337461798716	293.5302552692468	415.69291967989585	338.0625561200217	146.77588016758654	104.27745683400471	99.15658067735541	108.09027651586021	25.690355870940923	63.63831789096109	9.973277988728146	307.0014095299592	457.33728553499043	46.67704883552636	48.648689952515	166.82325327116706	438.64721603391354	104.46573016552038	164.20527578509785	125.14187685930592	117.96311359215693	410.6882848207414	170.85879192197805	259.9227383890635	0.005199240889561343	273.34123685646415	109741.21084786984	0.0	NaN	NaN	-3.170634429743993	-888.3589142473273
