"parameter" "ESS" "mean" "high_hpd" "low_hpd"
"t_n142" 2055.35435803873 6.31157331951558 7.0620451 5.7474937
"t_n143" 2025.77659820091 6.21723075588023 6.918272 5.6739074
"t_n144" 3889.67200226182 3.95010240391089 6.1648462 1.841943
"t_n145" 2081.47794413567 5.92146697485695 6.5527715 5.4131337
"t_n146" 10970.3307196596 4.77555363633687 5.5764362 4.2145234
"t_n147" 7113.65462748079 2.76461622183768 4.2962995 1.3507557
"t_n148" 4702.23817597489 1.41971456722404 2.7123742 0.4956362
"t_n149" 2258.71667547229 5.62927136893506 6.1790438 5.1629807
"t_n150" 4759.97308026847 4.7003526812566 5.7143177 3.0948524
"t_n151" 2181.57262781935 5.36286233157602 5.8672493 4.9285225
"t_n152" 2210.44600973524 5.29847908383423 5.7863577 4.8819303
"t_n153" 3648.09888797827 5.05394970969946 5.6365252 4.3805321
"t_n154" 2438.03477774269 3.15996543398145 4.1104589 2.3126308
"t_n155" 2392.76984535633 2.70087538425643 3.6431407 1.9184754
"t_n156" 3743.48346129844 1.70160883168157 2.6438169 0.9711728
"t_n157" 2939.11228188871 1.96257061961558 2.8614947 1.1957541
"t_n158" 2698.23097863235 5.07421088662297 5.5375165 4.6987511
"t_n159" 2881.42100216225 2.94228065000278 4.2237544 1.417875
"t_n160" 3718.60731554371 4.84673874263096 5.248691 4.5210449
"t_n161" 4108.90069913705 2.29476302877618 4.0010151 1.0234455
"t_n162" 8612.69553323306 4.53726663534248 4.7807634 4.2919367
"t_n163" 1665.7615380572 3.40032109257263 4.5692712 1.5448899
"t_n164" 1692.51934570662 2.57875933979223 4.1725259 1.1036318
"t_n165" 9110.48527420439 4.4066491494417 4.5120724 4.1908725
"t_n166" 8199.49898899074 4.04945100571635 4.4153961 3.3647557
"t_n167" 9134.34078605033 2.3237009170435 2.9055251 1.9869703
"t_n168" 5283.35321478434 1.34980626215766 2.1770776 0.7730763
"t_n169" 2452.09386752189 2.11791006496861 2.9859334 1.3315453
"t_n170" 2296.2635164264 1.58791892735404 2.4098827 0.9131745
"t_n171" 2406.37786510785 1.24449556504639 1.9948209 0.6057639
"t_n172" 6281.21983518857 4.24439784790289 4.4106902 4.0124556
"t_n173" 3618.93813735309 3.89211842604855 4.2427579 3.3806559
"t_n174" 6277.42166038974 3.3781298261541 3.9494896 2.5507672
"t_n175" 5065.50187374469 1.60889887960113 2.6152461 0.829325
"t_n176" 1989.41929827966 3.67824930155547 4.1024669 3.0951735
"t_n177" 3825.90420406368 2.98105409837231 3.6658492 1.9385063
"t_n178" 4357.51978687768 1.28906609533359 2.1613823 0.5488069
"t_n179" 1603.59841453126 3.4956405875118 3.9785296 2.9115507
